label,text,source
not_spam,please find attached the report you requested.,email
not_spam,can we schedule a call for tomorrow afternoon?,email
spam,urgent! your mobile number has won £<NUM>.,sms
not_spam,can we meet for lunch tomorrow?,sms
spam,make money online with our proven system!,email
not_spam,how was your weekend?,sms
spam,urgent: verify your account immediately!,email
spam,urgent: your account has been compromised. click here to verify.,email
not_spam,i will be there in <NUM> minutes.,sms
not_spam,thanks for the great presentation today.,email
spam,you have been selected to receive a £<NUM> reward!,sms
not_spam,thanks for the help with the project.,sms
not_spam,what time is the meeting?,sms
spam,free entry in <NUM> a wkly comp to win fa cup final tkts.,sms
not_spam,"hey, how are you doing today?",sms
spam,get rich quick! make money from home with our amazing program!,email
not_spam,i have reviewed the proposal and it looks good.,email
not_spam,the team meeting has been moved to <NUM> pm.,email
not_spam,looking forward to seeing you.,sms
not_spam,thanks for the birthday wishes.,sms
spam,you have won a free vacation! click to claim.,email
spam,urgent! you have won a £<NUM> bonus caller prize!,sms
spam,limited time offer! <NUM>% off all products. order now!,email
spam,you have won a £<NUM> bonus caller prize!,sms
not_spam,looking forward to working with you on this project.,email
