label,text,source
spam,URGENT! You have won a £2000 Bonus Caller Prize!,sms
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.,sms
spam,You have been selected to receive a £900 reward!,sms
spam,Congratulations! You have won $1000 cash prize!,sms
spam,URGENT! Your mobile number has won £2000.,sms
spam,You have won a £2000 Bonus Caller Prize!,sms
spam,Free entry in 2 a wkly comp to win FA Cup final tkts.,sms
spam,You have been selected to receive a £900 reward!,sms
spam,Congratulations! You have won $1000 cash prize!,sms
spam,URGENT! Your mobile number has won £2000.,sms
spam,URGENT! You have won a £2000 Bonus Caller Prize!,sms
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.,sms
spam,You have been selected to receive a £900 reward!,sms
spam,Congratulations! You have won $1000 cash prize!,sms
spam,URGENT! Your mobile number has won £2000.,sms
spam,You have won a £2000 Bonus Caller Prize!,sms
spam,Free entry in 2 a wkly comp to win FA Cup final tkts.,sms
spam,You have been selected to receive a £900 reward!,sms
spam,Congratulations! You have won $1000 cash prize!,sms
spam,URGENT! Your mobile number has won £2000.,sms
spam,URGENT! You have won a £2000 Bonus Caller Prize!,sms
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.,sms
spam,You have been selected to receive a £900 reward!,sms
spam,Congratulations! You have won $1000 cash prize!,sms
spam,URGENT! Your mobile number has won £2000.,sms
spam,You have won a £2000 Bonus Caller Prize!,sms
spam,Free entry in 2 a wkly comp to win FA Cup final tkts.,sms
spam,You have been selected to receive a £900 reward!,sms
spam,Congratulations! You have won $1000 cash prize!,sms
spam,URGENT! Your mobile number has won £2000.,sms
spam,URGENT! You have won a £2000 Bonus Caller Prize!,sms
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.,sms
spam,You have been selected to receive a £900 reward!,sms
spam,Congratulations! You have won $1000 cash prize!,sms
spam,URGENT! Your mobile number has won £2000.,sms
spam,You have won a £2000 Bonus Caller Prize!,sms
spam,Free entry in 2 a wkly comp to win FA Cup final tkts.,sms
spam,You have been selected to receive a £900 reward!,sms
spam,Congratulations! You have won $1000 cash prize!,sms
spam,URGENT! Your mobile number has won £2000.,sms
spam,URGENT! You have won a £2000 Bonus Caller Prize!,sms
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.,sms
spam,You have been selected to receive a £900 reward!,sms
spam,Congratulations! You have won $1000 cash prize!,sms
spam,URGENT! Your mobile number has won £2000.,sms
spam,You have won a £2000 Bonus Caller Prize!,sms
spam,Free entry in 2 a wkly comp to win FA Cup final tkts.,sms
spam,You have been selected to receive a £900 reward!,sms
spam,Congratulations! You have won $1000 cash prize!,sms
spam,URGENT! Your mobile number has won £2000.,sms
spam,URGENT! You have won a £2000 Bonus Caller Prize!,sms
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.,sms
spam,You have been selected to receive a £900 reward!,sms
spam,Congratulations! You have won $1000 cash prize!,sms
spam,URGENT! Your mobile number has won £2000.,sms
spam,You have won a £2000 Bonus Caller Prize!,sms
spam,Free entry in 2 a wkly comp to win FA Cup final tkts.,sms
spam,You have been selected to receive a £900 reward!,sms
spam,Congratulations! You have won $1000 cash prize!,sms
spam,URGENT! Your mobile number has won £2000.,sms
spam,URGENT! You have won a £2000 Bonus Caller Prize!,sms
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.,sms
spam,You have been selected to receive a £900 reward!,sms
spam,Congratulations! You have won $1000 cash prize!,sms
spam,URGENT! Your mobile number has won £2000.,sms
spam,You have won a £2000 Bonus Caller Prize!,sms
spam,Free entry in 2 a wkly comp to win FA Cup final tkts.,sms
spam,You have been selected to receive a £900 reward!,sms
spam,Congratulations! You have won $1000 cash prize!,sms
spam,URGENT! Your mobile number has won £2000.,sms
spam,URGENT! You have won a £2000 Bonus Caller Prize!,sms
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.,sms
spam,You have been selected to receive a £900 reward!,sms
spam,Congratulations! You have won $1000 cash prize!,sms
spam,URGENT! Your mobile number has won £2000.,sms
spam,You have won a £2000 Bonus Caller Prize!,sms
spam,Free entry in 2 a wkly comp to win FA Cup final tkts.,sms
spam,You have been selected to receive a £900 reward!,sms
spam,Congratulations! You have won $1000 cash prize!,sms
spam,URGENT! Your mobile number has won £2000.,sms
spam,URGENT! You have won a £2000 Bonus Caller Prize!,sms
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.,sms
spam,You have been selected to receive a £900 reward!,sms
spam,Congratulations! You have won $1000 cash prize!,sms
spam,URGENT! Your mobile number has won £2000.,sms
spam,You have won a £2000 Bonus Caller Prize!,sms
spam,Free entry in 2 a wkly comp to win FA Cup final tkts.,sms
spam,You have been selected to receive a £900 reward!,sms
spam,Congratulations! You have won $1000 cash prize!,sms
spam,URGENT! Your mobile number has won £2000.,sms
spam,URGENT! You have won a £2000 Bonus Caller Prize!,sms
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005.,sms
spam,You have been selected to receive a £900 reward!,sms
spam,Congratulations! You have won $1000 cash prize!,sms
spam,URGENT! Your mobile number has won £2000.,sms
spam,You have won a £2000 Bonus Caller Prize!,sms
spam,Free entry in 2 a wkly comp to win FA Cup final tkts.,sms
spam,You have been selected to receive a £900 reward!,sms
spam,Congratulations! You have won $1000 cash prize!,sms
spam,URGENT! Your mobile number has won £2000.,sms
not_spam,"Hey, how are you doing today?",sms
not_spam,Can we meet for lunch tomorrow?,sms
not_spam,Thanks for the help with the project.,sms
not_spam,What time is the meeting?,sms
not_spam,I will be there in 10 minutes.,sms
not_spam,Have a great day!,sms
not_spam,See you later.,sms
not_spam,Thanks for the birthday wishes.,sms
not_spam,How was your weekend?,sms
not_spam,Looking forward to seeing you.,sms
not_spam,"Hey, how are you doing today?",sms
not_spam,Can we meet for lunch tomorrow?,sms
not_spam,Thanks for the help with the project.,sms
not_spam,What time is the meeting?,sms
not_spam,I will be there in 10 minutes.,sms
not_spam,Have a great day!,sms
not_spam,See you later.,sms
not_spam,Thanks for the birthday wishes.,sms
not_spam,How was your weekend?,sms
not_spam,Looking forward to seeing you.,sms
not_spam,"Hey, how are you doing today?",sms
not_spam,Can we meet for lunch tomorrow?,sms
not_spam,Thanks for the help with the project.,sms
not_spam,What time is the meeting?,sms
not_spam,I will be there in 10 minutes.,sms
not_spam,Have a great day!,sms
not_spam,See you later.,sms
not_spam,Thanks for the birthday wishes.,sms
not_spam,How was your weekend?,sms
not_spam,Looking forward to seeing you.,sms
not_spam,"Hey, how are you doing today?",sms
not_spam,Can we meet for lunch tomorrow?,sms
not_spam,Thanks for the help with the project.,sms
not_spam,What time is the meeting?,sms
not_spam,I will be there in 10 minutes.,sms
not_spam,Have a great day!,sms
not_spam,See you later.,sms
not_spam,Thanks for the birthday wishes.,sms
not_spam,How was your weekend?,sms
not_spam,Looking forward to seeing you.,sms
not_spam,"Hey, how are you doing today?",sms
not_spam,Can we meet for lunch tomorrow?,sms
not_spam,Thanks for the help with the project.,sms
not_spam,What time is the meeting?,sms
not_spam,I will be there in 10 minutes.,sms
not_spam,Have a great day!,sms
not_spam,See you later.,sms
not_spam,Thanks for the birthday wishes.,sms
not_spam,How was your weekend?,sms
not_spam,Looking forward to seeing you.,sms
not_spam,"Hey, how are you doing today?",sms
not_spam,Can we meet for lunch tomorrow?,sms
not_spam,Thanks for the help with the project.,sms
not_spam,What time is the meeting?,sms
not_spam,I will be there in 10 minutes.,sms
not_spam,Have a great day!,sms
not_spam,See you later.,sms
not_spam,Thanks for the birthday wishes.,sms
not_spam,How was your weekend?,sms
not_spam,Looking forward to seeing you.,sms
not_spam,"Hey, how are you doing today?",sms
not_spam,Can we meet for lunch tomorrow?,sms
not_spam,Thanks for the help with the project.,sms
not_spam,What time is the meeting?,sms
not_spam,I will be there in 10 minutes.,sms
not_spam,Have a great day!,sms
not_spam,See you later.,sms
not_spam,Thanks for the birthday wishes.,sms
not_spam,How was your weekend?,sms
not_spam,Looking forward to seeing you.,sms
not_spam,"Hey, how are you doing today?",sms
not_spam,Can we meet for lunch tomorrow?,sms
not_spam,Thanks for the help with the project.,sms
not_spam,What time is the meeting?,sms
not_spam,I will be there in 10 minutes.,sms
not_spam,Have a great day!,sms
not_spam,See you later.,sms
not_spam,Thanks for the birthday wishes.,sms
not_spam,How was your weekend?,sms
not_spam,Looking forward to seeing you.,sms
not_spam,"Hey, how are you doing today?",sms
not_spam,Can we meet for lunch tomorrow?,sms
not_spam,Thanks for the help with the project.,sms
not_spam,What time is the meeting?,sms
not_spam,I will be there in 10 minutes.,sms
not_spam,Have a great day!,sms
not_spam,See you later.,sms
not_spam,Thanks for the birthday wishes.,sms
not_spam,How was your weekend?,sms
not_spam,Looking forward to seeing you.,sms
not_spam,"Hey, how are you doing today?",sms
not_spam,Can we meet for lunch tomorrow?,sms
not_spam,Thanks for the help with the project.,sms
not_spam,What time is the meeting?,sms
not_spam,I will be there in 10 minutes.,sms
not_spam,Have a great day!,sms
not_spam,See you later.,sms
not_spam,Thanks for the birthday wishes.,sms
not_spam,How was your weekend?,sms
not_spam,Looking forward to seeing you.,sms
not_spam,"Hey, how are you doing today?",sms
not_spam,Can we meet for lunch tomorrow?,sms
not_spam,Thanks for the help with the project.,sms
not_spam,What time is the meeting?,sms
not_spam,I will be there in 10 minutes.,sms
not_spam,Have a great day!,sms
not_spam,See you later.,sms
not_spam,Thanks for the birthday wishes.,sms
not_spam,How was your weekend?,sms
not_spam,Looking forward to seeing you.,sms
not_spam,"Hey, how are you doing today?",sms
not_spam,Can we meet for lunch tomorrow?,sms
not_spam,Thanks for the help with the project.,sms
not_spam,What time is the meeting?,sms
not_spam,I will be there in 10 minutes.,sms
not_spam,Have a great day!,sms
not_spam,See you later.,sms
not_spam,Thanks for the birthday wishes.,sms
not_spam,How was your weekend?,sms
not_spam,Looking forward to seeing you.,sms
not_spam,"Hey, how are you doing today?",sms
not_spam,Can we meet for lunch tomorrow?,sms
not_spam,Thanks for the help with the project.,sms
not_spam,What time is the meeting?,sms
not_spam,I will be there in 10 minutes.,sms
not_spam,Have a great day!,sms
not_spam,See you later.,sms
not_spam,Thanks for the birthday wishes.,sms
not_spam,How was your weekend?,sms
not_spam,Looking forward to seeing you.,sms
not_spam,"Hey, how are you doing today?",sms
not_spam,Can we meet for lunch tomorrow?,sms
not_spam,Thanks for the help with the project.,sms
not_spam,What time is the meeting?,sms
not_spam,I will be there in 10 minutes.,sms
not_spam,Have a great day!,sms
not_spam,See you later.,sms
not_spam,Thanks for the birthday wishes.,sms
not_spam,How was your weekend?,sms
not_spam,Looking forward to seeing you.,sms
not_spam,"Hey, how are you doing today?",sms
not_spam,Can we meet for lunch tomorrow?,sms
not_spam,Thanks for the help with the project.,sms
not_spam,What time is the meeting?,sms
not_spam,I will be there in 10 minutes.,sms
not_spam,Have a great day!,sms
not_spam,See you later.,sms
not_spam,Thanks for the birthday wishes.,sms
not_spam,How was your weekend?,sms
not_spam,Looking forward to seeing you.,sms
not_spam,"Hey, how are you doing today?",sms
not_spam,Can we meet for lunch tomorrow?,sms
not_spam,Thanks for the help with the project.,sms
not_spam,What time is the meeting?,sms
not_spam,I will be there in 10 minutes.,sms
not_spam,Have a great day!,sms
not_spam,See you later.,sms
not_spam,Thanks for the birthday wishes.,sms
not_spam,How was your weekend?,sms
not_spam,Looking forward to seeing you.,sms
not_spam,"Hey, how are you doing today?",sms
not_spam,Can we meet for lunch tomorrow?,sms
not_spam,Thanks for the help with the project.,sms
not_spam,What time is the meeting?,sms
not_spam,I will be there in 10 minutes.,sms
not_spam,Have a great day!,sms
not_spam,See you later.,sms
not_spam,Thanks for the birthday wishes.,sms
not_spam,How was your weekend?,sms
not_spam,Looking forward to seeing you.,sms
not_spam,"Hey, how are you doing today?",sms
not_spam,Can we meet for lunch tomorrow?,sms
not_spam,Thanks for the help with the project.,sms
not_spam,What time is the meeting?,sms
not_spam,I will be there in 10 minutes.,sms
not_spam,Have a great day!,sms
not_spam,See you later.,sms
not_spam,Thanks for the birthday wishes.,sms
not_spam,How was your weekend?,sms
not_spam,Looking forward to seeing you.,sms
not_spam,"Hey, how are you doing today?",sms
not_spam,Can we meet for lunch tomorrow?,sms
not_spam,Thanks for the help with the project.,sms
not_spam,What time is the meeting?,sms
not_spam,I will be there in 10 minutes.,sms
not_spam,Have a great day!,sms
not_spam,See you later.,sms
not_spam,Thanks for the birthday wishes.,sms
not_spam,How was your weekend?,sms
not_spam,Looking forward to seeing you.,sms
not_spam,"Hey, how are you doing today?",sms
not_spam,Can we meet for lunch tomorrow?,sms
not_spam,Thanks for the help with the project.,sms
not_spam,What time is the meeting?,sms
not_spam,I will be there in 10 minutes.,sms
not_spam,Have a great day!,sms
not_spam,See you later.,sms
not_spam,Thanks for the birthday wishes.,sms
not_spam,How was your weekend?,sms
not_spam,Looking forward to seeing you.,sms
not_spam,"Hey, how are you doing today?",sms
not_spam,Can we meet for lunch tomorrow?,sms
not_spam,Thanks for the help with the project.,sms
not_spam,What time is the meeting?,sms
not_spam,I will be there in 10 minutes.,sms
not_spam,Have a great day!,sms
not_spam,See you later.,sms
not_spam,Thanks for the birthday wishes.,sms
not_spam,How was your weekend?,sms
not_spam,Looking forward to seeing you.,sms
not_spam,"Hey, how are you doing today?",sms
not_spam,Can we meet for lunch tomorrow?,sms
not_spam,Thanks for the help with the project.,sms
not_spam,What time is the meeting?,sms
not_spam,I will be there in 10 minutes.,sms
not_spam,Have a great day!,sms
not_spam,See you later.,sms
not_spam,Thanks for the birthday wishes.,sms
not_spam,How was your weekend?,sms
not_spam,Looking forward to seeing you.,sms
not_spam,"Hey, how are you doing today?",sms
not_spam,Can we meet for lunch tomorrow?,sms
not_spam,Thanks for the help with the project.,sms
not_spam,What time is the meeting?,sms
not_spam,I will be there in 10 minutes.,sms
not_spam,Have a great day!,sms
not_spam,See you later.,sms
not_spam,Thanks for the birthday wishes.,sms
not_spam,How was your weekend?,sms
not_spam,Looking forward to seeing you.,sms
not_spam,"Hey, how are you doing today?",sms
not_spam,Can we meet for lunch tomorrow?,sms
not_spam,Thanks for the help with the project.,sms
not_spam,What time is the meeting?,sms
